FID_10,maj10,majper10,maj50,majper50,maj100,majper100,majit,majperit,IT_code_ITs,distance,size_km2,group,defit,def10,def50,def100
61.0000000,100.0000000,85.8261000,100.0000000,80.6891000,100.0000000,82.3002000,100.0000000,91.3802000,3841.0000000,0.0000000,11877.0800781,61.0000000,8.6197996,14.1738997,19.3108997,17.6998005
66.0000000,100.0000000,53.9904000,100.0000000,49.3749000,100.0000000,53.6774000,100.0000000,85.2587000,3583.0000000,103.0000000,1095.5500488,66.0000000,14.7412996,46.0096016,50.6250992,46.3226013
67.0000000,100.0000000,90.7831000,100.0000000,95.3061000,100.0000000,78.1014000,100.0000000,97.6721000,4141.0000000,89.0000000,115.4700012,691.0000000,2.3278999,9.2168999,4.6939001,21.8985996
68.0000000,75.0000000,73.5567000,75.0000000,72.0836000,75.0000000,68.1146000,100.0000000,95.3709000,3750.0000000,0.0000000,629.1300049,68.0000000,4.6290998,73.5567017,72.0836029,68.1146011
71.0000000,100.0000000,50.3984000,100.0000000,48.1400000,75.0000000,52.6328000,100.0000000,83.9756000,3573.0000000,19.0000000,2850.0700684,71.0000000,16.0244007,49.6016006,51.8600006,52.6328011
72.0000000,100.0000000,78.6225000,100.0000000,86.6445000,100.0000000,88.5591000,100.0000000,89.5136000,3975.0000000,2.0000000,277.4299927,72.0000000,10.4863997,21.3775005,13.3555002,11.4408998
74.0000000,100.0000000,71.5201000,100.0000000,61.3187000,100.0000000,65.6269000,100.0000000,96.1202000,3657.0000000,27.0000000,1689.9899902,74.0000000,3.8798001,28.4799004,38.6813011,34.3731003
75.0000000,100.0000000,81.6300000,100.0000000,82.4654000,100.0000000,77.9446000,100.0000000,96.5361000,3733.0000000,22.0000000,3879.1000977,696.0000000,3.4639001,18.3700008,17.5345993,22.0554008
76.0000000,100.0000000,98.4987000,100.0000000,94.8273000,100.0000000,92.0174000,100.0000000,99.1786000,3985.0000000,57.0000000,4696.8500977,76.0000000,0.8214000,1.5013000,5.1726999,7.9826002
77.0000000,100.0000000,74.9776000,100.0000000,64.7979000,100.0000000,54.0221000,100.0000000,50.2658000,4123.0000000,36.0000000,94.3000031,77.0000000,49.7341995,25.0223999,35.2020988,45.9779015
78.0000000,100.0000000,64.9066000,100.0000000,48.3559000,100.0000000,58.8267000,100.0000000,95.1715000,3709.0000000,82.0000000,51.1699982,78.0000000,4.8284998,35.0933990,51.6441002,41.1733017
79.0000000,100.0000000,81.9602000,100.0000000,69.7964000,100.0000000,71.2091000,100.0000000,97.0170000,4170.0000000,0.0000000,176.3399963,652.0000000,2.9830000,18.0398006,30.2035999,28.7908993
81.0000000,100.0000000,59.2068000,100.0000000,44.7241000,100.0000000,49.5393000,100.0000000,92.9407000,3578.0000000,43.0000000,86.0199966,81.0000000,7.0592999,40.7932014,55.2759018,50.4607010
82.0000000,75.0000000,67.5792000,100.0000000,40.5513000,100.0000000,39.2337000,100.0000000,95.5802000,3687.0000000,4.0000000,1072.4799805,82.0000000,4.4197998,67.5792007,59.4487000,60.7663002
83.0000000,100.0000000,80.5344000,100.0000000,74.0601000,100.0000000,75.1782000,100.0000000,88.9059000,3798.0000000,0.0000000,688.2299805,652.0000000,11.0941000,19.4655991,25.9398994,24.8218002
84.0000000,100.0000000,70.5177000,100.0000000,63.8944000,100.0000000,59.8415000,100.0000000,94.1896000,3966.0000000,53.0000000,1087.4399414,658.0000000,5.8104000,29.4822998,36.1055984,40.1585007
85.0000000,100.0000000,63.3552000,100.0000000,57.1334000,100.0000000,51.8045000,100.0000000,84.1210000,3768.0000000,308.0000000,141.8800049,85.0000000,15.8789997,36.6447983,42.8666000,48.1954994
86.0000000,75.0000000,79.3600000,75.0000000,58.1848000,100.0000000,49.9963000,100.0000000,94.7956000,3723.0000000,2.0000000,1531.7299805,86.0000000,5.2044001,79.3600006,58.1847992,50.0037003
87.0000000,100.0000000,83.8812000,100.0000000,90.9922000,100.0000000,92.8323000,100.0000000,91.4909000,3944.0000000,49.0000000,1151.0600586,692.0000000,8.5091000,16.1187992,9.0078001,7.1676998
88.0000000,100.0000000,68.3489000,100.0000000,57.1974000,100.0000000,51.6988000,100.0000000,95.0951000,3895.0000000,0.0000000,85367.6093750,699.0000000,4.9049001,31.6511002,42.8026009,48.3012009
90.0000000,100.0000000,77.5993000,100.0000000,90.9242000,100.0000000,88.0469000,100.0000000,96.7869000,3628.0000000,78.0000000,286.0499878,90.0000000,3.2131000,22.4006996,9.0757999,11.9531002
91.0000000,100.0000000,87.2090000,100.0000000,81.5546000,100.0000000,75.6608000,100.0000000,83.9465000,3823.0000000,2.0000000,3469.2399902,683.0000000,16.0534992,12.7910004,18.4454002,24.3391991
94.0000000,100.0000000,75.8610000,100.0000000,79.8603000,100.0000000,73.2433000,100.0000000,92.4780000,3911.0000000,69.0000000,3563.7299805,681.0000000,7.5219998,24.1389999,20.1396999,26.7567005
96.0000000,100.0000000,84.1401000,100.0000000,80.9022000,100.0000000,75.6188000,100.0000000,89.3958000,4303.0000000,8.0000000,4750.5800781,683.0000000,10.6042004,15.8599005,19.0977993,24.3812008
98.0000000,100.0000000,95.4314000,100.0000000,95.3079000,100.0000000,89.6534000,100.0000000,96.4280000,4999.0000000,0.0000000,21851.5703125,694.0000000,3.5720000,4.5686002,4.6921000,10.3465996
99.0000000,75.0000000,73.2909000,75.0000000,54.1854000,75.0000000,41.5938000,100.0000000,94.7193000,3939.0000000,31.0000000,261.7099915,99.0000000,5.2807002,73.2909012,54.1853981,41.5937996
100.0000000,100.0000000,85.8900000,100.0000000,91.2012000,100.0000000,94.0456000,100.0000000,99.1570000,3914.0000000,63.0000000,1404.2199707,692.0000000,0.8430000,14.1099997,8.7988005,5.9544001
101.0000000,100.0000000,56.5587000,100.0000000,61.2693000,100.0000000,64.3986000,100.0000000,63.2682000,4615.0000000,79.0000000,59.8300018,101.0000000,36.7318001,43.4412994,38.7307014,35.6013985
105.0000000,100.0000000,61.2094000,100.0000000,76.9526000,100.0000000,78.8546000,100.0000000,82.3061000,4469.0000000,93.0000000,484.2600098,105.0000000,17.6938992,38.7905998,23.0473995,21.1453991
107.0000000,100.0000000,67.8843000,100.0000000,70.1460000,100.0000000,74.0029000,100.0000000,64.1507000,3869.0000000,0.0000000,4983.6499023,683.0000000,35.8493004,32.1156998,29.8540001,25.9971008
108.0000000,100.0000000,69.4020000,100.0000000,72.3378000,100.0000000,73.3205000,100.0000000,81.8424000,3970.0000000,53.0000000,4135.7900391,658.0000000,18.1576004,30.5979996,27.6622009,26.6795006
109.0000000,100.0000000,63.4790000,100.0000000,66.9451000,100.0000000,67.2543000,100.0000000,84.0849000,3585.0000000,22.0000000,7740.6298828,696.0000000,15.9151001,36.5209999,33.0549011,32.7457008
110.0000000,100.0000000,52.5189000,75.0000000,57.6861000,75.0000000,51.1891000,100.0000000,90.3586000,4119.0000000,52.0000000,168.6100006,110.0000000,9.6414003,47.4810982,57.6861000,51.1890984
113.0000000,100.0000000,72.9825000,100.0000000,76.3359000,100.0000000,80.7457000,100.0000000,90.3548000,3946.0000000,0.0000000,3896.6201172,692.0000000,9.6451998,27.0174999,23.6641006,19.2542992
114.0000000,100.0000000,58.0287000,100.0000000,58.0251000,100.0000000,49.7596000,100.0000000,97.8250000,3727.0000000,19.0000000,1464.1500244,114.0000000,2.1750000,41.9712982,41.9748993,50.2403984
115.0000000,100.0000000,85.6609000,100.0000000,81.4864000,100.0000000,86.7534000,100.0000000,87.2231000,3590.0000000,4.0000000,1897.4799805,650.0000000,12.7769003,14.3390999,18.5135994,13.2466002
116.0000000,75.0000000,87.1440000,75.0000000,82.5648000,75.0000000,72.7480000,100.0000000,97.4629000,3859.0000000,0.0000000,259.9700012,755.0000000,2.5371001,87.1439972,82.5647964,72.7480011
117.0000000,75.0000000,67.9049000,75.0000000,49.3145000,75.0000000,44.5885000,100.0000000,95.3579000,4570.0000000,63.0000000,80.6999969,117.0000000,4.6420999,67.9048996,49.3144989,44.5885010
120.0000000,100.0000000,78.4324000,100.0000000,81.8184000,100.0000000,72.6988000,100.0000000,96.9783000,3603.0000000,40.0000000,7481.8398438,120.0000000,3.0216999,21.5676003,18.1816006,27.3012009
123.0000000,100.0000000,78.2005000,100.0000000,78.0776000,100.0000000,75.1208000,100.0000000,93.1683000,4169.0000000,4.0000000,360.8099976,652.0000000,6.8316998,21.7994995,21.9223995,24.8792000
129.0000000,100.0000000,91.4108000,100.0000000,93.9526000,100.0000000,92.3283000,100.0000000,95.0428000,3912.0000000,26.0000000,2377.0400391,692.0000000,4.9572001,8.5892000,6.0474000,7.6717000
131.0000000,100.0000000,93.7336000,100.0000000,86.6334000,100.0000000,74.4738000,100.0000000,94.9449000,3580.0000000,35.0000000,7877.6401367,131.0000000,5.0551000,6.2663999,13.3666000,25.5261993
132.0000000,75.0000000,55.8544000,100.0000000,51.6127000,100.0000000,55.9049000,100.0000000,93.6426000,3858.0000000,23.0000000,2478.4399414,681.0000000,6.3573999,55.8544006,48.3872986,44.0951004
137.0000000,100.0000000,67.4402000,100.0000000,66.2914000,100.0000000,76.4825000,100.0000000,72.7067000,3936.0000000,0.0000000,1930.5200195,692.0000000,27.2933006,32.5597992,33.7085991,23.5174999
140.0000000,100.0000000,78.2893000,100.0000000,68.1859000,100.0000000,72.1221000,100.0000000,93.0903000,4024.0000000,33.0000000,208.2899933,140.0000000,6.9096999,21.7106991,31.8141003,27.8778992
141.0000000,100.0000000,91.1488000,100.0000000,87.8886000,100.0000000,76.5493000,100.0000000,94.1606000,3949.0000000,4.0000000,383.7799988,141.0000000,5.8393998,8.8512001,12.1113997,23.4507008
144.0000000,100.0000000,53.5443000,100.0000000,54.5720000,100.0000000,47.7963000,100.0000000,73.6037000,4145.0000000,104.0000000,1177.0200195,144.0000000,26.3962994,46.4556999,45.4280014,52.2037010
147.0000000,100.0000000,56.9183000,100.0000000,58.4467000,100.0000000,59.1844000,100.0000000,99.5953000,3983.0000000,24.0000000,2621.3500977,691.0000000,0.4047000,43.0816994,41.5532990,40.8156013
148.0000000,100.0000000,81.2688000,100.0000000,69.9695000,100.0000000,60.3133000,100.0000000,87.5447000,3921.0000000,0.0000000,2602.3300781,658.0000000,12.4553003,18.7311993,30.0305004,39.6866989
149.0000000,100.0000000,94.6805000,100.0000000,89.9707000,100.0000000,92.6021000,100.0000000,98.4094000,3919.0000000,21.0000000,605.3800049,759.0000000,1.5906000,5.3195000,10.0292997,7.3979001
150.0000000,100.0000000,73.7790000,100.0000000,62.7582000,100.0000000,63.1128000,100.0000000,76.7236000,4104.0000000,66.0000000,1583.4799805,634.0000000,23.2763996,26.2210007,37.2417984,36.8871994
152.0000000,100.0000000,95.4881000,100.0000000,92.3003000,100.0000000,87.2687000,100.0000000,98.0931000,3574.0000000,0.0000000,2622.3100586,152.0000000,1.9069000,4.5118999,7.6996999,12.7313004
153.0000000,100.0000000,47.5946000,100.0000000,52.8908000,100.0000000,61.4644000,100.0000000,89.6119000,4302.0000000,25.0000000,254.2200012,153.0000000,10.3880997,52.4053993,47.1091995,38.5355988
155.0000000,100.0000000,58.0119000,100.0000000,64.5426000,100.0000000,74.7202000,100.0000000,60.0613000,3597.0000000,121.0000000,233.3200073,155.0000000,39.9387016,41.9880981,35.4574013,25.2798004
157.0000000,100.0000000,96.7452000,100.0000000,97.1851000,100.0000000,94.9901000,100.0000000,99.2227000,4054.0000000,63.0000000,219.4199982,759.0000000,0.7773000,3.2548001,2.8148999,5.0099001
159.0000000,100.0000000,51.3903000,100.0000000,66.3041000,100.0000000,67.3519000,100.0000000,93.6134000,4178.0000000,0.0000000,134.8500061,159.0000000,6.3866000,48.6096992,33.6959000,32.6481018
160.0000000,100.0000000,89.4515000,100.0000000,81.9809000,100.0000000,76.9826000,100.0000000,99.7537000,3937.0000000,25.0000000,1279.1500244,160.0000000,0.2463000,10.5485001,18.0191002,23.0174007
